time,high,Currency,Coin,low,open,volumefrom,volumeto,close,conversionType,timestamp_date,timestamp_Year
1452729600,433.74,USD,ETH,427.01,432.18,46172.51,19948730.59,429.13,direct,2016-01-14,2016
1452816000,430.15,USD,ETH,364.71,429.13,268141.73,107060613.39,372.26,direct,2016-01-15,2016
1452902400,386.72,USD,ETH,350.39,372.26,183962.03,68297105.65,385.04,direct,2016-01-16,2016
1452988800,390.72,USD,ETH,377.71,385.04,66089.34,25464382.4,382.47,direct,2016-01-17,2016
1453075200,387.29,USD,ETH,373.21,382.47,69301.33,26546465.91,384.4,direct,2016-01-18,2016
1453161600,386.69,USD,ETH,375.89,384.4,66345.24,25417876.87,379.46,direct,2016-01-19,2016
1453248000,425.72,USD,ETH,374.05,379.46,190316.94,76873917.15,414.58,direct,2016-01-20,2016
1453334400,423.42,USD,ETH,403.86,414.58,89938.22,37264942.18,410.24,direct,2016-01-21,2016
1453420800,411.49,USD,ETH,374.9,410.24,144856.97,56548790.09,382.65,direct,2016-01-22,2016
1453507200,395.43,USD,ETH,380.27,382.65,61383.14,23908533.75,388.61,direct,2016-01-23,2016
1453593600,405.4,USD,ETH,385.53,388.61,64535.73,25770175.58,402.13,direct,2016-01-24,2016
1453680000,403.78,USD,ETH,386.85,402.13,67659.06,26793044.72,392.76,direct,2016-01-25,2016
1453766400,397.74,USD,ETH,387.9,392.76,56805.12,22384754.5,389.78,direct,2016-01-26,2016
1453852800,397.37,USD,ETH,389.35,389.78,43678.72,17297117.36,395.02,direct,2016-01-27,2016
1453939200,395.42,USD,ETH,376.71,395.02,77319.55,29717813.05,379.69,direct,2016-01-28,2016
1454025600,385.75,USD,ETH,363.49,379.69,138455.81,51927041.84,380.29,direct,2016-01-29,2016
1454112000,381.75,USD,ETH,375.04,380.29,36179.6,13720656.84,377.76,direct,2016-01-30,2016
1454198400,380.54,USD,ETH,366.88,377.76,39019.71,14718855.75,369.84,direct,2016-01-31,2016
1454284800,379.78,USD,ETH,365.27,369.84,74346.01,27728088.91,372.18,direct,2016-02-01,2016
1454371200,376.63,USD,ETH,371.4,372.18,50981.07,19123252.48,373.92,direct,2016-02-02,2016
1454457600,375.89,USD,ETH,366.2,373.92,59813.05,22266682.14,368.02,direct,2016-02-03,2016
1454544000,391.83,USD,ETH,368.05,368.02,101868.7,38961905.49,390.65,direct,2016-02-04,2016
1454630400,391.15,USD,ETH,384.48,390.65,60917.35,23688228.07,386.46,direct,2016-02-05,2016
1454716800,386.35,USD,ETH,372.87,386.46,78850.1,29801286.8,376.68,direct,2016-02-06,2016
1454803200,382.61,USD,ETH,375.28,376.68,40743.17,15395728.35,377.94,direct,2016-02-07,2016
1454889600,380.92,USD,ETH,372.1,377.94,62236.23,23424062.52,372.63,direct,2016-02-08,2016
1454976000,377.59,USD,ETH,371.42,372.63,55358.89,20801701.37,375.32,direct,2016-02-09,2016
1455062400,385.38,USD,ETH,374.09,375.32,97487.81,37137791.06,381.88,direct,2016-02-10,2016
1455148800,383.23,USD,ETH,372.75,381.88,62653.08,23858467.37,379.45,direct,2016-02-11,2016
1455235200,386.4,USD,ETH,379.32,379.45,53759.93,20685663.27,384.04,direct,2016-02-12,2016
1455321600,392.57,USD,ETH,383.31,384.04,48158.05,18757146.48,390.1,direct,2016-02-13,2016
1455408000,405.93,USD,ETH,390.06,390.1,73589.64,29442484.67,405.5,direct,2016-02-14,2016
1455494400,410.85,USD,ETH,396.56,405.5,86127.28,34862753.81,401.07,direct,2016-02-15,2016
1455580800,409.75,USD,ETH,398.0,401.07,68330.32,27726590.05,406.42,direct,2016-02-16,2016
