time,high,low,open,volumefrom,volumeto,close,conversionType,Datetime,Year
1388620800,886.21,810.47,815.94,12811.63,10826907.96,856.91,direct,2014-01-02,2014
1388707200,888.23,839.44,856.91,9709.01,8409629.11,884.26,direct,2014-01-03,2014
1388793600,932.16,848.32,884.26,14239.01,12784626.88,924.69,direct,2014-01-04,2014
1388880000,1029.86,911.36,924.69,21374.2,20789364.52,1014.74,direct,2014-01-05,2014
1388966400,1093.44,964.74,1014.74,23076.53,23622237.65,1012.65,direct,2014-01-06,2014
1389052800,1043.98,879.85,1012.65,22665.1,21753921.59,879.9,direct,2014-01-07,2014
1389139200,966.9,858.9,879.9,14094.75,12942254.98,938.84,direct,2014-01-08,2014
1389225600,964.64,866.55,938.84,14414.95,13202619.46,936.95,direct,2014-01-09,2014
1389312000,964.84,905.88,936.95,6351.48,5909107.79,957.76,direct,2014-01-10,2014
1389398400,1010.84,935.0,957.76,11181.63,10948175.25,1005.32,direct,2014-01-11,2014
1389484800,1022.67,922.07,1005.32,9931.11,9620090.09,939.79,direct,2014-01-12,2014
1389571200,949.24,879.94,939.79,10132.38,9220891.88,922.91,direct,2014-01-13,2014
1389657600,942.47,904.19,922.91,4311.64,3960633.47,919.28,direct,2014-01-14,2014
1389744000,973.09,915.06,919.28,6828.58,6448062.43,941.22,direct,2014-01-15,2014
1389830400,955.53,910.5,941.22,5103.29,4720008.07,913.49,direct,2014-01-16,2014
1389916800,929.75,867.22,913.49,10312.23,9203107.31,894.16,direct,2014-01-17,2014
1390003200,924.74,884.74,894.16,6040.91,5493742.6,905.72,direct,2014-01-18,2014
1390089600,958.07,901.88,905.72,7571.24,7071649.38,954.8,direct,2014-01-19,2014
1390176000,980.54,925.96,954.8,10406.31,9981282.97,955.95,direct,2014-01-20,2014
1390262400,974.25,943.18,955.95,6584.71,6289022.19,962.21,direct,2014-01-21,2014
1390348800,973.94,934.95,962.21,4783.86,4503428.34,950.95,direct,2014-01-22,2014
1390435200,958.06,936.27,950.95,1973.42,1839615.29,944.16,direct,2014-01-23,2014
1390521600,949.52,902.89,944.16,6197.18,5684047.02,916.55,direct,2014-01-24,2014
1390608000,978.41,915.86,916.55,8181.23,7797108.54,961.05,direct,2014-01-25,2014
1390694400,1038.06,950.66,961.05,13073.84,13054605.53,1007.0,direct,2014-01-26,2014
1390780800,1021.45,937.23,1007.0,8327.15,8052715.48,943.54,direct,2014-01-27,2014
1390867200,972.61,911.65,943.54,10406.15,9757613.92,932.68,direct,2014-01-28,2014
1390953600,950.56,918.86,932.68,5678.19,5254878.58,925.67,direct,2014-01-29,2014
1391040000,953.24,909.46,925.67,5425.21,5026461.81,941.39,direct,2014-01-30,2014
1391126400,954.71,924.59,941.39,4310.07,4024749.63,938.85,direct,2014-01-31,2014
1391212800,969.19,927.8,938.85,4364.51,4118865.67,940.42,direct,2014-02-01,2014
1391299200,959.38,934.41,940.42,1583.28,1495327.62,953.31,direct,2014-02-02,2014
1391385600,959.58,931.67,953.31,2790.11,2601784.11,931.71,direct,2014-02-03,2014
1391472000,949.1,900.76,931.71,4608.88,4250751.67,926.64,direct,2014-02-04,2014
1391558400,939.75,890.05,926.64,7558.29,6865987.27,904.52,direct,2014-02-05,2014
1391644800,908.77,800.93,904.52,18599.16,15719958.05,828.87,direct,2014-02-06,2014
1391731200,833.07,651.73,828.87,49906.75,36412212.3,695.65,direct,2014-02-07,2014
1391817600,719.26,632.08,695.65,22876.3,15503790.63,648.78,direct,2014-02-08,2014
1391904000,694.12,622.53,648.78,19884.9,13186251.81,659.57,direct,2014-02-09,2014
1391990400,700.04,500.04,659.57,40130.05,24334044.2,582.63,direct,2014-02-10,2014
1392076800,609.71,550.22,582.63,16725.92,9621820.7,578.96,direct,2014-02-11,2014
1392163200,585.12,511.9,578.96,21301.39,11628634.59,531.13,direct,2014-02-12,2014
1392249600,549.2,451.33,531.13,28942.07,14394464.14,451.44,direct,2014-02-13,2014
1392336000,500.03,302.18,451.44,65819.68,25084223.33,427.68,direct,2014-02-14,2014
1392422400,447.94,310.08,427.68,50617.35,18299075.74,371.07,direct,2014-02-15,2014
1392508800,540.03,220.37,371.07,86180.34,26267622.78,299.8,direct,2014-02-16,2014
1392595200,411.21,263.36,299.8,51439.43,16532226.28,272.28,direct,2014-02-17,2014
1392681600,370.12,248.31,272.28,48878.18,14130126.78,293.95,direct,2014-02-18,2014
1392768000,308.63,257.24,293.95,31501.97,8618299.81,261.53,direct,2014-02-19,2014
1392854400,271.61,109.22,261.53,102183.77,16608347.18,111.92,direct,2014-02-20,2014
1392940800,160.15,91.66,111.92,82590.48,10115923.16,111.56,direct,2014-02-21,2014
1393027200,290.59,96.72,111.56,72170.05,11838225.02,255.59,direct,2014-02-22,2014
1393113600,349.15,220.31,255.59,38549.76,11158706.83,310.17,direct,2014-02-23,2014
1393200000,316.88,131.85,310.17,95118.82,17929284.9,174.0,direct,2014-02-24,2014
1393286400,174.64,102.33,174.0,30426.23,3993023.8,135.78,direct,2014-02-25,2014
1393372800,650.0,522.84,135.78,602.49,383571.24,593.14,direct,2014-02-26,2014
1393459200,629.9,580.5,593.14,497.8,322887.36,596.49,direct,2014-02-27,2014
1393545600,599.0,570.0,596.49,505.86,321170.16,573.94,direct,2014-02-28,2014
1393632000,564.07,262.77,573.94,404.38,250331.34,557.39,direct,2014-03-01,2014
1393718400,562.93,541.54,557.39,826.76,469498.62,544.56,direct,2014-03-02,2014
1393804800,695.44,545.42,544.56,1263.06,794976.61,662.18,direct,2014-03-03,2014
1393891200,686.22,645.16,662.18,1365.98,947328.84,661.85,direct,2014-03-04,2014
1393977600,665.97,636.77,661.85,1259.48,855787.67,658.3,direct,2014-03-05,2014
1394064000,661.83,636.22,658.3,2067.16,1367401.19,648.26,direct,2014-03-06,2014
